Id,Nombre,CostoUnitario,Iva
1357,Smartwatch,6631690,0.19
1644,Auriculares inalámbricos,7991418,0.19
946,Sistema de sonido envolvente,7596375,0.19
1375,Sistema de sonido envolvente,1350748,0.19
2644,Máquina de afeitar eléctrica,1019818,0.19
380,Ratón óptico,3193325,0.19
555,Linterna LED,3540392,0.19
2743,Altavoces Bluetooth,6653036,0.19
1409,Tablet,9448580,0.19
2458,Reloj inteligente para deportes,4268047,0.19
2095,Smartwatch,2522325,0.19
2765,Linterna LED,8945479,0.19
1340,Impresora,2349705,0.19
1703,Linterna LED,7540682,0.19
2842,Teclado mecánico,2855044,0.19
2151,Máquina de afeitar eléctrica,903036,0.19
2191,Tableta gráfica,7426866,0.19
165,Máquina de afeitar eléctrica,5347892,0.19
1501,Dron,1002091,0.19
449,Smartphone,7075247,0.19
1759,Cámara digital,1602117,0.19
2793,Televisor,2600392,0.19
870,Ratón óptico,8140031,0.19
2448,Plancha de ropa con vapor,6336208,0.19
1134,Batería externa,9973255,0.19
1189,Tablet,5752839,0.19
2675,Smartphone,1204832,0.19
643,Kit de realidad virtual (VR),743895,0.19
2730,Linterna LED,4959777,0.19
998,Reproductor de DVD/Blu-ray,6841640,0.19
1338,Robot aspirador,7990622,0.19
1395,Cargador inalámbrico,9231732,0.19
1195,Laptop,2123823,0.19
2005,Televisor,6627684,0.19
1510,Kit de realidad virtual (VR),3650160,0.19
2537,Televisor,8227658,0.19
2009,Dron,8495814,0.19
2430,Máquina de afeitar eléctrica,6006537,0.19
1402,Reproductor de DVD/Blu-ray,4850359,0.19
2969,Termostato inteligente,5601149,0.19
2754,Tablet,7783135,0.19
370,Reproductor de DVD/Blu-ray,8879091,0.19
2979,Router inalámbrico,8133122,0.19
2411,Laptop,5839088,0.19
1495,Reproductor de DVD/Blu-ray,3291691,0.19
2121,Disco duro externo,7759333,0.19
2712,Smartphone,2799772,0.19
612,Auriculares inalámbricos,4676848,0.19
1197,Reloj inteligente para deportes,876480,0.19
512,Consola de videojuegos,7129365,0.19
1954,Tablet,1170439,0.19
